serie,ano,regiao,tipo_localizacao,tipo_escola,percentual_aprovacao,percentual_reprovacao,percentual_abandono
EF2,2015,N,R,ES,82.2,10.2,7.6
EF2,2015,N,R,MU,80.5,11.0,8.5
EF2,2015,N,R,PR,89.0,9.5,1.5
EF2,2015,NE,T,TO,81.0,14.0,5.0
EF2,2015,NE,T,PU,78.9,15.4,5.7
EF2,2015,NE,T,FE,95.6,4.4,0.0
EF2,2015,NE,T,ES,75.5,18.9,5.6
EF2,2015,NE,T,MU,80.0,14.4,5.6
EF2,2015,NE,T,PR,94.4,5.2,0.4
EF2,2015,NE,U,TO,81.0,14.3,4.7
EF2,2015,NE,U,PU,78.1,16.2,5.7
EF2,2015,NE,U,FE,95.7,4.3,0.0
EF2,2015,NE,U,ES,75.5,19.1,5.4
EF2,2015,NE,U,MU,79.2,15.0,5.8
EF2,2015,NE,U,PR,94.4,5.2,0.4
EF2,2015,NE,R,TO,81.4,13.0,5.6
EF2,2015,NE,R,PU,81.3,13.0,5.7
EF2,2015,NE,R,FE,89.8,10.2,0.0
EF2,2015,NE,R,ES,75.9,15.5,8.6
EF2,2015,NE,R,MU,81.6,12.9,5.5
EF2,2015,NE,R,PR,91.8,7.2,1.0
EF2,2015,SE,T,TO,89.6,8.6,1.8
EF2,2015,SE,T,PU,88.4,9.5,2.1
EF2,2015,SE,T,FE,91.2,8.7,0.1
EF2,2015,SE,T,ES,89.5,8.4,2.1
EF2,2015,SE,T,MU,86.4,11.5,2.1
EF2,2015,SE,T,PR,95.4,4.5,0.1
EF2,2015,SE,U,TO,89.6,8.6,1.8
EF2,2015,SE,U,PU,88.3,9.5,2.2
EF2,2015,SE,U,FE,91.2,8.7,0.1
EF2,2015,SE,U,ES,89.5,8.4,2.1
EF2,2015,SE,U,MU,86.3,11.5,2.2
EF2,2015,SE,U,PR,95.4,4.5,0.1
EF2,2015,SE,R,TO,88.8,9.3,1.9
EF2,2015,SE,R,PU,88.6,9.4,2.0
EF2,2015,SE,R,FE,,,
EF2,2015,SE,R,ES,90.5,7.6,1.9
EF2,2015,SE,R,MU,87.5,10.6,1.9
EF2,2015,SE,R,PR,94.0,5.6,0.4
EF2,2015,S,T,TO,85.3,12.6,2.1
EF2,2015,S,T,PU,84.0,13.8,2.2
EF2,2015,S,T,FE,94.8,5.2,0.0
EF2,2015,S,T,ES,83.4,14.1,2.5
EF2,2015,S,T,MU,85.3,13.0,1.7
EF2,2015,S,T,PR,96.4,3.5,0.1
EF2,2015,S,U,TO,85.1,12.8,2.1
EF2,2015,S,U,PU,83.6,14.1,2.3
EF2,2015,S,U,FE,94.8,5.2,0.0
EF2,2015,S,U,ES,83.1,14.4,2.5
EF2,2015,S,U,MU,85.0,13.3,1.7
EF2,2015,S,U,PR,96.4,3.5,0.1
EF2,2015,S,R,TO,87.6,10.2,2.2
EF2,2015,S,R,PU,87.6,10.2,2.2
EF2,2015,S,R,FE,,,
EF2,2015,S,R,ES,87.8,9.7,2.5
EF2,2015,S,R,MU,87.3,10.9,1.8
EF2,2015,S,R,PR,91.8,7.9,0.3
EF2,2015,CO,T,TO,88.7,9.1,2.2
EF2,2015,CO,T,PU,87.2,10.2,2.6
EF2,2015,CO,T,FE,96.9,3.1,0.0
EF2,2015,CO,T,ES,86.6,10.6,2.8
EF2,2015,CO,T,MU,88.6,9.2,2.2
EF2,2015,CO,T,PR,96.5,3.4,0.1
EF2,2015,CO,U,TO,88.7,9.1,2.2
EF2,2015,CO,U,PU,87.1,10.3,2.6
EF2,2015,CO,U,FE,96.9,3.1,0.0
EF2,2015,CO,U,ES,86.5,10.7,2.8
EF2,2015,CO,U,MU,88.7,9.3,2.0
EF2,2015,CO,U,PR,96.4,3.4,0.2
EF2,2015,CO,R,TO,88.4,8.6,3.0
EF2,2015,CO,R,PU,88.2,8.8,3.0
EF2,2015,CO,R,FE,,,
EF2,2015,CO,R,ES,88.4,8.8,2.8
EF2,2015,CO,R,MU,88.1,8.8,3.1
EF2,2015,CO,R,PR,98.8,1.1,0.1
EM,2015,N,T,TO,77.1,9.7,13.2
EM,2015,N,T,PU,75.7,10.2,14.1
EM,2015,N,T,FE,84.2,12.4,3.4
EM,2015,N,T,ES,75.5,10.1,14.4
EM,2015,N,T,MU,84.9,8.2,6.9
EM,2015,N,T,PR,94.4,4.5,1.1
EM,2015,N,U,TO,76.8,10.0,13.2
EM,2015,N,U,PU,75.2,10.5,14.3
EM,2015,N,U,FE,83.6,12.7,3.7
EM,2015,N,U,ES,75.0,10.5,14.5
EM,2015,N,U,MU,82.6,9.3,8.1
EM,2015,N,U,PR,94.5,4.6,0.9
EM,2015,N,R,TO,79.6,6.9,13.5
